Cluster,Size,Percentage,Avg_Age,Avg_Income,Avg_Spending,Female_Pct,Male_Pct
0,2,1.0,35.5,78.0,1.0,0.0,100.0
1,34,17.0,47.38235294117647,56.88235294117647,47.088235294117645,64.70588235294117,35.294117647058826
2,10,5.0,55.2,26.9,13.0,50.0,50.0
3,32,16.0,24.75,55.78125,49.5,65.625,34.375
4,11,5.5,34.09090909090909,23.545454545454547,25.454545454545453,72.72727272727273,27.27272727272727
5,39,19.5,32.69230769230769,86.53846153846153,82.12820512820512,53.84615384615385,46.15384615384615
6,22,11.0,25.272727272727273,25.727272727272727,79.36363636363636,59.09090909090909,40.909090909090914
7,30,15.0,41.36666666666667,90.16666666666667,16.566666666666666,46.666666666666664,53.333333333333336
8,20,10.0,64.85,53.15,49.85,40.0,60.0
